date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets,s1win,s1loss,s1win(%),s4win,s4loss,s4win(%)
2017-01-16,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Melzer J.,17.0,300.0,1980.0,164.0,7.0,5.0,3.0,6.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,163,4.0,163,1,99.0,20,1,95.0
2017-01-17,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Haase R.,24.0,57.0,1655.0,808.0,6.0,2.0,3.0,6.0,5.0,7.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,226,5.0,226,13,95.0,24,1,96.0
2017-01-17,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Mayer F.,9.0,49.0,3195.0,903.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,207,3.0,206,3,99.0,19,0,100.0
2017-01-17,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Struff J.L.,8.0,58.0,3415.0,796.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,3.0,,,3.0,1.0,Completed,173,4.0,173,23,88.0,24,3,89.0
2017-01-17,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Verdasco F.,2.0,40.0,11780.0,1105.0,6.0,1.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,216,3.0,216,17,93.0,33,0,100.0
2017-01-18,2017,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Rubin N.,17.0,200.0,1980.0,274.0,7.0,5.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,163,3.0,163,2,99.0,20,0,100.0
2017-01-19,2017,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Nadal R.,Baghdatis M.,9.0,36.0,3195.0,1210.0,6.0,3.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,207,3.0,206,3,99.0,19,1,95.0
2017-01-19,2017,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Thiem D.,Thompson J.,8.0,76.0,3415.0,699.0,6.0,2.0,6.0,1.0,6.0,7.0,6.0,4.0,,,3.0,1.0,Completed,173,4.0,173,8,96.0,24,2,92.0
2017-01-19,2017,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Zverev A.,Tiafoe F.,24.0,108.0,1655.0,550.0,6.0,2.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,226,3.0,226,16,93.0,24,4,86.0
2017-01-20,2017,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Berdych T.,17.0,10.0,1980.0,3060.0,6.0,2.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,163,3.0,163,7,96.0,20,0,100.0
2017-01-21,2017,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Thiem D.,Paire B.,8.0,47.0,3415.0,960.0,6.0,1.0,4.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,173,4.0,173,17,91.0,24,3,89.0
2017-01-21,2017,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Nadal R.,Zverev A.,9.0,24.0,3195.0,1655.0,4.0,6.0,6.0,3.0,6.0,7.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,207,5.0,206,27,88.0,19,6,76.0
2017-01-22,2017,Australian Open,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Nishikori K.,17.0,5.0,1980.0,5010.0,6.0,7.0,6.0,4.0,6.0,1.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,163,5.0,163,23,88.0,20,5,80.0
2017-01-23,2017,Australian Open,Grand Slam,Outdoor,Hard,4th Round,5,Nadal R.,Monfils G.,9.0,6.0,3195.0,3625.0,6.0,3.0,6.0,3.0,4.0,6.0,6.0,4.0,,,3.0,1.0,Completed,207,4.0,206,16,93.0,19,3,86.0
2017-01-24,2017,Australian Open,Grand Slam,Outdoor,Hard,Quarterfinals,5,Federer R.,Zverev M.,17.0,50.0,1980.0,894.0,6.0,1.0,7.0,5.0,6.0,2.0,,,,,3.0,0.0,Completed,163,3.0,163,9,95.0,20,0,100.0
2017-01-25,2017,Australian Open,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nadal R.,Raonic M.,9.0,3.0,3195.0,5290.0,6.0,4.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,Completed,207,3.0,206,13,94.0,19,1,95.0
