date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets
2017-01-01,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Ymer E.,79.0,160.0,689.0,372.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,68,2.0
2017-01-02,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Ferrer D.,Tomic B.,21.0,26.0,1785.0,1465.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,40,2.0
2017-01-02,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Johnson S.,17.0,33.0,2035.0,1320.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,135,2.0
2017-01-02,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Escobedo E.,45.0,141.0,1001.0,443.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,89,2.0
2017-01-02,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Robert S.,39.0,54.0,1102.0,854.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,23,3.0
2017-01-02,2017,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Mektic N.,86.0,331.0,658.0,144.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,20,2.0
2017-01-02,2017,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Monteiro T.,99.0,82.0,611.0,674.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,195,2.0
2017-01-02,2017,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Kovalik J.,Elias G.,117.0,81.0,501.0,675.0,6.0,7.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,17,3.0
2017-01-02,2017,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Coric B.,104.0,48.0,571.0,945.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,56,2.0
2017-01-02,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Bagnis F.,72.0,56.0,710.0,835.0,6.0,1.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,12,3.0
2017-01-02,2017,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Dzumhur D.,96.0,77.0,616.0,699.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,18,2.0
