date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets,s1win,s1loss,s1win(%)
2017-01-02,2017,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Monteiro T.,99.0,82.0,611.0,674.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,195,2.0,195,2,99.0
2017-01-02,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Struff J.L.,2.0,63.0,11780.0,758.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,216,2.0,216,23,90.0
2017-01-02,2017,Sony Ericsson Open,Masters 1000,Outdoor,Hard,The Final,3,Federer R.,Nadal R.,6.0,7.0,4305.0,4145.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,163,2.0,163,19,90.0
2017-01-03,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Dolgopolov O.,9.0,62.0,3300.0,760.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,207,2.0,206,5,98.0
2017-01-04,2017,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Lu Y.H.,99.0,64.0,611.0,754.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,195,2.0,195,2,99.0
2017-01-04,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Zeballos H.,2.0,71.0,11780.0,722.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,216,2.0,216,5,98.0
2017-01-05,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Zverev M.,9.0,51.0,3300.0,874.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,207,2.0,206,9,96.0
2017-01-05,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Groth S.,8.0,180.0,3415.0,320.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,173,2.0,173,1,99.0
2017-01-05,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Stepanek R.,2.0,107.0,11780.0,558.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,216,2.0,216,1,100.0
2017-01-06,2017,Chennai Open,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Kovalik J.,99.0,117.0,611.0,501.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,195,2.0,195,2,99.0
2017-01-06,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Semifinals,3,Djokovic N.,Verdasco F.,2.0,42.0,11780.0,1035.0,4.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,216,3.0,216,17,93.0
2017-01-07,2017,Chennai Open,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Sela D.,99.0,96.0,611.0,616.0,4.0,6.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,195,3.0,195,3,98.0
2017-01-07,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,The Final,3,Djokovic N.,Murray A.,2.0,1.0,11780.0,12410.0,6.0,3.0,5.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,216,3.0,216,9,96.0
2017-01-11,2017,Apia International,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Elias G.,8.0,81.0,3415.0,675.0,6.0,7.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,173,3.0,173,1,99.0
2017-01-16,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Melzer J.,17.0,300.0,1980.0,164.0,7.0,5.0,3.0,6.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,163,4.0,163,1,99.0
2017-01-17,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Haase R.,24.0,57.0,1655.0,808.0,6.0,2.0,3.0,6.0,5.0,7.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,226,5.0,226,13,95.0
2017-01-17,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Mayer F.,9.0,49.0,3195.0,903.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,207,3.0,206,3,99.0
2017-01-17,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Struff J.L.,8.0,58.0,3415.0,796.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,3.0,,,3.0,1.0,Completed,173,4.0,173,23,88.0
2017-01-17,2017,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Verdasco F.,2.0,40.0,11780.0,1105.0,6.0,1.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,216,3.0,216,17,93.0
2017-01-18,2017,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Rubin N.,17.0,200.0,1980.0,274.0,7.0,5.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,163,3.0,163,2,99.0
